Car,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Tata Indica Vista Aqua TDI BSIII,2009,90000,120000,Diesel,Dealer,Manual,First Owner
Maruti Esteem Vxi - BSIII,2010,125000,81000,Diesel,Individual,Manual,Second Owner
Maruti Swift Dzire VDI Optional,2011,120000,70000,Diesel,Individual,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
Hyundai Santro Xing GL Plus,2011,120000,120000,Diesel,Individual,Manual,Second Owner
Ford Endeavour 2.5L 4X2 MT,2009,150000,164000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Sportz,2007,100000,39000,Diesel,Individual,Manual,First Owner
Audi Q5 2.0 TDI,2011,150000,155500,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,2014,185000,72000,CNG,Dealer,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2014,250000,100000,Petrol,Individual,Manual,First Owner
Maruti SX4 Zxi with Leather BSIII,2011,220000,80000,Diesel,Individual,Manual,First Owner
Mahindra Xylo E4 BS III,2011,260000,97000,Diesel,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Ambition BSIV,2011,75000,15000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza ZDi Plus,2012,100000,50000,Petrol,Individual,Manual,Second Owner
Datsun GO A,2013,72000,25000,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxL,2013,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner
Ford Endeavour 4x4 XLT,2010,250000,120000,Diesel,Individual,Manual,Second Owner
Tata New Safari DICOR 2.2 EX 4x2,2018,430000,30000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,2016,1000000,70000,Diesel,Individual,Manual,First Owner
Honda Brio E MT,2006,115999,100000,Diesel,Individual,Manual,Second Owner
Maruti Alto 800 LXI,2002,100000,120000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Magna,2018,360000,4000,Petrol,Individual,Manual,First Owner
Maruti Swift Glam,2019,425000,19600,Petrol,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2019,350000,15000,Petrol,Individual,Automatic,Second Owner
Maruti Swift VDI,2019,575000,8000,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater,2018,525000,15000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI Airbag,2015,300000,140000,Diesel,Dealer,Manual,First Owner
Maruti Ciaz VXi Plus,2015,400000,100000,Diesel,Individual,Manual,First Owner
#N/A,2015,380000,17152,Petrol,Individual,Manual,First Owner
Hyundai Elite i20 Asta Option BSIV,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,2011,350000,230000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LX BS IV,2016,900000,50000,Petrol,Individual,Automatic,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,525000,92000,Diesel,Dealer,Manual,First Owner
Hyundai Santro Era,2013,229999,50000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,2012,300000,50000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R DUO LPG,2011,450000,100000,Diesel,Individual,Manual,Second Owner
Maruti Omni MPI STD BSIV,2014,1000000,110000,Diesel,Individual,Manual,First Owner
Toyota Corolla Altis Diesel D4DG,2015,1300000,80000,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS BSIII,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2011,450000,200000,Diesel,Individual,Manual,Third Owner
Maruti Ciaz ZDi SHVS,2012,500000,100000,Diesel,Individual,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,2011,1075000,160000,Diesel,Individual,Manual,Second Owner
Maruti S-Cross Facelift,2009,500000,120000,Diesel,Individual,Manual,Third Owner
Maruti Baleno Alpha 1.3,2014,1050000,70000,Diesel,Individual,Manual,First Owner
Volkswagen Polo Diesel Trendline 1.2L,2016,1800000,141440,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT AT S Option,2017,640000,56000,Diesel,Dealer,Manual,First Owner
Hyundai Elite i20 Diesel Era,2013,450000,50000,Petrol,Individual,Manual,First Owner
Ford Figo Aspire Facelift,2011,270000,180000,Diesel,Individual,Manual,Second Owner
Hyundai EON Era Plus,2015,500000,30000,Diesel,Individual,Manual,Second Owner
Mahindra XUV500 W6 2WD,2012,350000,77000,Diesel,Individual,Manual,First Owner
Maruti Ertiga VXI ABS,2013,400000,100000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.6 SX Option,2016,650000,70000,Diesel,Individual,Automatic,First Owner
Ford Ecosport 1.5 DV5 MT Titanium,2011,300000,65000,Diesel,Individual,Manual,Second Owner
Maruti 800 AC,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner
